path,distribution,family,util_bucket,n_tasks,U_total,dm_schedulable,edf_schedulable,edf_checked_points,edf_worst_violation,sim_horizon,sim_dm_missed_total,sim_edf_missed_total
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_37.csv,automotive-utilDist,automotive-perDist,0.10,12,0.107792,1,1,4,-46860,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_38.csv,automotive-utilDist,automotive-perDist,0.10,11,0.06253,1,1,10,-19730,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_39.csv,automotive-utilDist,automotive-perDist,0.10,7,0.095099,1,1,4,-47730,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_4.csv,automotive-utilDist,automotive-perDist,0.10,10,0.101415,1,1,2,-92451,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_40.csv,automotive-utilDist,automotive-perDist,0.10,8,0.056331,1,1,2,-97700,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_41.csv,automotive-utilDist,automotive-perDist,0.10,11,0.080943,1,1,4,-49670,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_42.csv,automotive-utilDist,automotive-perDist,0.10,8,0.08843,1,1,2,-93680,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_43.csv,automotive-utilDist,automotive-perDist,0.10,7,0.10974,1,1,2,-90040,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_44.csv,automotive-utilDist,automotive-perDist,0.10,4,0.10547,1,1,10,-19280,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_45.csv,automotive-utilDist,automotive-perDist,0.10,12,0.150151,1,1,10,-17700,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_46.csv,automotive-utilDist,automotive-perDist,0.10,9,0.08317,1,1,4,-48710,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_47.csv,automotive-utilDist,automotive-perDist,0.10,12,0.03993,1,1,4,-49120,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_48.csv,automotive-utilDist,automotive-perDist,0.10,12,0.150151,1,1,10,-17700,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_49.csv,automotive-utilDist,automotive-perDist,0.10,12,0.096225,1,1,10,-19380,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_5.csv,automotive-utilDist,automotive-perDist,0.10,15,0.103219,1,1,2,-92420,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_50.csv,automotive-utilDist,automotive-perDist,0.10,7,0.093529,1,1,4,-46360,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_51.csv,automotive-utilDist,automotive-perDist,0.10,9,0.093439,1,1,10,-19680,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_52.csv,automotive-utilDist,automotive-perDist,0.10,13,0.081517,1,1,2,-92730,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_53.csv,automotive-utilDist,automotive-perDist,0.10,12,0.096225,1,1,10,-19380,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_54.csv,automotive-utilDist,automotive-perDist,0.10,7,0.112951,1,1,4,-46010,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_55.csv,automotive-utilDist,automotive-perDist,0.10,13,0.092315,1,1,4,-48930,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_56.csv,automotive-utilDist,automotive-perDist,0.10,6,0.112495,1,1,4,-48430,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_57.csv,automotive-utilDist,automotive-perDist,0.10,8,0.15076,1,1,20,-8910,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_58.csv,automotive-utilDist,automotive-perDist,0.10,7,0.075239,1,1,2,-95560,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_59.csv,automotive-utilDist,automotive-perDist,0.10,7,0.075239,1,1,2,-95560,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_6.csv,automotive-utilDist,automotive-perDist,0.10,9,0.09965,1,1,10,-19810,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_60.csv,automotive-utilDist,automotive-perDist,0.10,4,0.07947,1,1,20,-9560,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_61.csv,automotive-utilDist,automotive-perDist,0.10,16,0.102801,1,1,2,-91161,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_62.csv,automotive-utilDist,automotive-perDist,0.10,15,0.093685,1,1,4,-49810,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_63.csv,automotive-utilDist,automotive-perDist,0.10,11,0.119405,1,1,10,-19160,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_64.csv,automotive-utilDist,automotive-perDist,0.10,1,0.0979,1,1,2,-90210,300000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_65.csv,automotive-utilDist,automotive-perDist,0.10,14,0.099316,1,1,2,-91411,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_66.csv,automotive-utilDist,automotive-perDist,0.10,9,0.090461,1,1,4,-49300,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_67.csv,automotive-utilDist,automotive-perDist,0.10,8,0.10015,1,1,2,-92180,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_68.csv,automotive-utilDist,automotive-perDist,0.10,9,0.055215,1,1,10,-19730,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_69.csv,automotive-utilDist,automotive-perDist,0.10,1,0.098,1,1,20,-9020,30000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_7.csv,automotive-utilDist,automotive-perDist,0.10,9,0.09027,1,1,4,-48560,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_70.csv,automotive-utilDist,automotive-perDist,0.10,8,0.110159,1,1,4,-48020,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_71.csv,automotive-utilDist,automotive-perDist,0.10,9,0.081808,1,1,2,-93120,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_72.csv,automotive-utilDist,automotive-perDist,0.10,18,0.115709,1,1,4,-48450,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_73.csv,automotive-utilDist,automotive-perDist,0.10,17,0.079749,1,1,10,-19480,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_74.csv,automotive-utilDist,automotive-perDist,0.10,8,0.09232,1,1,10,-19890,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_75.csv,automotive-utilDist,automotive-perDist,0.10,16,0.068078,1,1,2,-98580,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_76.csv,automotive-utilDist,automotive-perDist,0.10,9,0.067314,1,1,10,-19290,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_77.csv,automotive-utilDist,automotive-perDist,0.10,10,0.09525,1,1,10,-19560,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_78.csv,automotive-utilDist,automotive-perDist,0.10,7,0.14582,1,1,20,-9620,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_79.csv,automotive-utilDist,automotive-perDist,0.10,6,0.07599,1,1,20,-9740,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_8.csv,automotive-utilDist,automotive-perDist,0.10,5,0.074491,1,1,2,-93370,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_80.csv,automotive-utilDist,automotive-perDist,0.10,10,0.086779,1,1,2,-92190,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_81.csv,automotive-utilDist,automotive-perDist,0.10,3,0.09523,1,1,20,-9050,500000,0,0
